"AverageSpeed","tick"
1.1900000000000002,1.0
2.3800000000000003,2.0
3.5699999999999985,3.0
4.760000000000001,4.0
5.95,5.0
7.420000000000003,6.0
9.59,7.0
11.759999999999993,8.0
13.93,9.0
16.099999999999998,10.0
18.48,11.0
21.060000000000002,12.0
23.860000000000003,13.0
26.660000000000004,14.0
29.259999999999987,15.0
31.849999999999984,16.0
34.569999999999986,17.0
37.05,18.0
39.500000000000014,19.0
41.900000000000006,20.0
43.89999999999998,21.0
46.00000000000001,22.0
48.199999999999996,23.0
50.1,24.0
51.989999999999995,25.0
53.88,26.0
55.58000000000001,27.0
57.21999999999999,28.0
58.91999999999998,29.0
60.580000000000005,30.0
62.13999999999999,31.0
63.60999999999999,32.0
65.00000000000001,33.0
66.56,34.0
68.17999999999998,35.0
69.79000000000003,36.0
71.25,37.0
72.54999999999995,38.0
74.02,39.0
75.52000000000002,40.0
77.09,41.0
78.69999999999997,42.0
80.19000000000001,43.0
81.73,44.0
83.07000000000004,45.0
84.31999999999998,46.0
85.53000000000003,47.0
86.62,48.0
87.59999999999998,49.0
88.72,50.0
89.84000000000002,51.0
91.16999999999996,52.0
92.44000000000005,53.0
93.62999999999998,54.0
94.84999999999998,55.0
95.88000000000001,56.0
96.83,57.0
97.75999999999998,58.0
97.34000000000003,59.0
97.52999999999997,60.0
98.39999999999999,61.0
99.31000000000002,62.0
100.32000000000001,63.0
101.23999999999998,64.0
100.95000000000003,65.0
101.93000000000004,66.0
102.84,67.0
103.71000000000001,68.0
104.44999999999999,69.0
105.03000000000002,70.0
105.58999999999999,71.0
106.02000000000004,72.0
106.44000000000004,73.0
106.85999999999996,74.0
107.22000000000003,75.0
107.57,76.0
107.81000000000003,77.0
108.02000000000001,78.0
108.22999999999996,79.0
108.44000000000003,80.0
108.64999999999998,81.0
108.78999999999999,82.0
108.80000000000003,83.0
108.80000000000003,84.0
108.80000000000003,85.0
107.60000000000001,86.0
106.27,87.0
106.41000000000003,88.0
106.54999999999998,89.0
106.69000000000001,90.0
106.83,91.0
106.97000000000001,92.0
107.11,93.0
107.24999999999999,94.0
107.38999999999997,95.0
107.53,96.0
107.66999999999994,97.0
107.81,98.0
107.95000000000002,99.0
108.08999999999999,100.0
108.22999999999999,101.0
108.36999999999999,102.0
108.51,103.0
108.59000000000002,104.0
108.65999999999997,105.0
108.73,106.0
108.02000000000002,107.0
108.09,108.0
108.16000000000005,109.0
108.22999999999998,110.0
108.29999999999995,111.0
108.37,112.0
108.44000000000001,113.0
108.51000000000002,114.0
107.77999999999997,115.0
107.85000000000004,116.0
107.99,117.0
108.12999999999998,118.0
108.21000000000001,119.0
108.28000000000003,120.0
108.35000000000005,121.0
108.42000000000004,122.0
108.49000000000005,123.0
108.56000000000006,124.0
108.63000000000002,125.0
108.70000000000006,126.0
108.77000000000002,127.0
106.59999999999998,128.0
106.67,129.0
106.81000000000003,130.0
105.54999999999998,131.0
105.75999999999998,132.0
105.96999999999998,133.0
106.18000000000002,134.0
106.11000000000004,135.0
106.24999999999999,136.0
106.39000000000003,137.0
106.53000000000002,138.0
106.67,139.0
