"AverageSpeed","tick"
1.7600000000000005,1.0
3.520000000000001,2.0
6.05,3.0
8.140000000000004,4.0
10.560000000000002,5.0
13.75,6.0
16.94,7.0
20.390000000000004,8.0
24.23999999999999,9.0
27.939999999999998,10.0
31.679999999999996,11.0
34.79,12.0
38.06000000000001,13.0
41.84000000000001,14.0
45.519999999999996,15.0
48.85000000000001,16.0
52.3,17.0
55.649999999999984,18.0
59.29000000000002,19.0
62.559999999999974,20.0
65.42999999999999,21.0
68.28000000000002,22.0
71.14000000000006,23.0
73.57000000000001,24.0
75.67999999999998,25.0
77.89999999999999,26.0
79.56000000000006,27.0
80.27000000000002,28.0
81.92000000000002,29.0
83.69999999999996,30.0
84.65999999999998,31.0
81.75,32.0
83.62,33.0
85.15999999999995,34.0
87.24999999999999,35.0
89.33,36.0
91.17,37.0
92.91,38.0
94.38000000000002,39.0
95.78999999999999,40.0
97.22,41.0
98.32999999999998,42.0
98.89000000000003,43.0
99.64000000000004,44.0
99.97999999999999,45.0
100.41999999999997,46.0
101.19000000000001,47.0
101.41000000000004,48.0
101.64999999999998,49.0
101.11000000000003,50.0
101.35999999999997,51.0
100.82000000000002,52.0
101.67000000000002,53.0
102.34,54.0
102.87000000000002,55.0
103.41999999999999,56.0
102.49999999999996,57.0
102.43000000000004,58.0
103.31000000000002,59.0
103.67999999999998,60.0
104.42,61.0
104.97000000000001,62.0
105.43,63.0
105.74,64.0
105.96000000000002,65.0
106.14,66.0
105.98999999999998,67.0
106.09999999999995,68.0
104.8,69.0
104.91000000000001,70.0
103.81999999999998,71.0
103.62000000000002,72.0
103.39999999999998,73.0
103.70999999999998,74.0
103.39,75.0
103.49999999999999,76.0
103.70999999999998,77.0
103.81999999999998,78.0
103.93,79.0
102.21999999999998,80.0
101.15,81.0
101.59,82.0
102.03000000000003,83.0
101.59,84.0
101.58999999999999,85.0
99.60999999999999,86.0
99.5,87.0
99.71999999999997,88.0
99.60999999999996,89.0
98.71999999999997,90.0
97.91000000000001,91.0
95.53000000000004,92.0
93.23999999999998,93.0
92.45999999999998,94.0
92.90000000000002,95.0
92.13000000000002,96.0
92.35000000000001,97.0
91.80000000000005,98.0
91.11000000000001,99.0
90.19999999999999,100.0
89.10999999999999,101.0
88.32999999999998,102.0
88.00000000000001,103.0
88.11000000000001,104.0
